carrington_rotation,longitude_index,carrington_longitude_degree,latitude_index,sine_latitude,latitude_degree,field_microtesla
2149,1,10,8,-0.43333333333333335,-25.679288619456855,132.786
2149,1,10,9,-0.36666666666666664,-21.510188266887482,131.256
2149,1,10,10,-0.29999999999999999,-17.457603123722091,131.96299999999999
2149,1,10,11,-0.23333333333333334,-13.49339882155169,33.859999999999999
2149,1,10,12,-0.16666666666666666,-9.5940682268604611,-498.10899999999998
2149,1,10,13,-0.10000000000000001,-5.7391704772667866,-1169.8779999999999
2149,1,10,14,-0.033333333333333333,-1.9102131717099304,-1181.0239999999999
2149,1,10,15,0.033333333333333333,1.9102131717099304,-585.49400000000003
2149,1,10,16,0.10000000000000001,5.7391704772667866,-117.961
2149,1,10,17,0.16666666666666666,9.5940682268604611,-76.683999999999997
2149,1,10,18,0.23333333333333334,13.49339882155169,-209.46700000000001
2149,1,10,19,0.29999999999999999,17.457603123722091,-260.399
2149,1,10,20,0.36666666666666664,21.510188266887482,-241.429
2149,1,10,21,0.43333333333333335,25.679288619456855,-105.339
2149,1,10,22,0.5,29.999999999999996,-13.791
2149,1,10,23,0.56666666666666665,34.518107841061259,3.3940000000000001
2149,1,10,24,0.6333333333333333,39.296480239187503,-1.905
2149,1,10,25,0.69999999999999996,44.427004000805702,1.742
2149,1,10,26,0.76666666666666672,50.055494810185124,7.8159999999999998
2149,1,10,27,0.83333333333333337,56.442690238079287,17.219000000000001
2149,1,10,28,0.90000000000000002,64.158067236832878,25.189
2149,1,10,29,0.96666666666666667,75.164888418024262,31.814
2149,2,15,0,-0.96666666666666667,-75.164888418024262,-5.024
2149,2,15,1,-0.90000000000000002,-64.158067236832878,-9.0459999999999994
2149,2,15,2,-0.83333333333333337,-56.442690238079287,-14.037000000000001
2149,2,15,3,-0.76666666666666672,-50.055494810185124,-12.194000000000001
2149,2,15,4,-0.69999999999999996,-44.427004000805702,-0.46200000000000002
2149,2,15,5,-0.6333333333333333,-39.296480239187503,14.712
2149,2,15,6,-0.56666666666666665,-34.518107841061259,43.295999999999999
2149,2,15,7,-0.5,-29.999999999999996,99.841999999999999
2149,2,15,8,-0.43333333333333335,-25.679288619456855,130.48099999999999
2149,2,15,9,-0.36666666666666664,-21.510188266887482,133.61199999999999
2149,2,15,10,-0.29999999999999999,-17.457603123722091,104.041
2149,2,15,11,-0.23333333333333334,-13.49339882155169,30.837
2149,2,15,12,-0.16666666666666666,-9.5940682268604611,-221.191
2149,2,15,13,-0.10000000000000001,-5.7391704772667866,-584.13900000000001
2149,2,15,14,-0.033333333333333333,-1.9102131717099304,-591.01499999999999
2149,2,15,15,0.033333333333333333,1.9102131717099304,-252.08199999999999
2149,2,15,16,0.10000000000000001,5.7391704772667866,-4.7110000000000003
2149,2,15,17,0.16666666666666666,9.5940682268604611,-8.5009999999999994
2149,2,15,18,0.23333333333333334,13.49339882155169,-248.61799999999999
2149,2,15,19,0.29999999999999999,17.457603123722091,-424.16000000000003
2149,2,15,20,0.36666666666666664,21.510188266887482,-365.11900000000003
2149,2,15,21,0.43333333333333335,25.679288619456855,-124.146
2149,2,15,22,0.5,29.999999999999996,9.3309999999999995
2149,2,15,23,0.56666666666666665,34.518107841061259,29.832000000000001
2149,2,15,24,0.6333333333333333,39.296480239187503,12.257999999999999
2149,2,15,25,0.69999999999999996,44.427004000805702,4.1920000000000002
2149,2,15,26,0.76666666666666672,50.055494810185124,8.0039999999999996
2149,2,15,27,0.83333333333333337,56.442690238079287,16.617999999999999
2149,2,15,28,0.90000000000000002,64.158067236832878,21.724
